IE_XML_ID;IE_NAME;IP_PROP64
17799;Светильник SP-MONA-SURFACE-R100-12W (WH / BK, 24 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17800;Светильник SP-RONDO-90A-8W White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17800;Светильник SP-RONDO-90A-8W White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17800;Светильник SP-RONDO-90A-8W White;/local/templates/universe_s1/Сертификат СанПин.jpg
17801;Светильник SP-RONDO-8W 90A / 90B;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17801;Светильник SP-RONDO-8W 90A / 90B;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17801;Светильник SP-RONDO-8W 90A / 90B;/local/templates/universe_s1/Сертификат СанПин.jpg
17802;Светильник SP-RONDO-90A-8W Warm White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17802;Светильник SP-RONDO-90A-8W Warm White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17802;Светильник SP-RONDO-90A-8W Warm White;/local/templates/universe_s1/Сертификат СанПин.jpg
17803;Светильник SP-RONDO-120A-12W Day White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17803;Светильник SP-RONDO-120A-12W Day White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17803;Светильник SP-RONDO-120A-12W Day White;/local/templates/universe_s1/Сертификат СанПин.jpg
17804;Светильник SP-RONDO-120A-12W Warm White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17804;Светильник SP-RONDO-120A-12W Warm White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17804;Светильник SP-RONDO-120A-12W Warm White;/local/templates/universe_s1/Сертификат СанПин.jpg
17805;Светильник SP-RONDO-140A-18W Day White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17805;Светильник SP-RONDO-140A-18W Day White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17805;Светильник SP-RONDO-140A-18W Day White;/local/templates/universe_s1/Сертификат СанПин.jpg
17806;Светильник SP-RONDO-140A-18W Warm White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17806;Светильник SP-RONDO-140A-18W Warm White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17806;Светильник SP-RONDO-140A-18W Warm White;/local/templates/universe_s1/Сертификат СанПин.jpg
17807;Светильник SP-RONDO-175A-16W White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17807;Светильник SP-RONDO-175A-16W White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17807;Светильник SP-RONDO-175A-16W White;/local/templates/universe_s1/Сертификат СанПин.jpg
17808;Светильник SP-RONDO-175A-16W Day White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17808;Светильник SP-RONDO-175A-16W Day White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17808;Светильник SP-RONDO-175A-16W Day White;/local/templates/universe_s1/Сертификат СанПин.jpg
17809;Светильник SP-RONDO-175A-16W Warm White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17809;Светильник SP-RONDO-175A-16W Warm White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17809;Светильник SP-RONDO-175A-16W Warm White;/local/templates/universe_s1/Сертификат СанПин.jpg
17810;Светильник SP-RONDO-210A-20W Day White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17810;Светильник SP-RONDO-210A-20W Day White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17810;Светильник SP-RONDO-210A-20W Day White;/local/templates/universe_s1/Сертификат СанПин.jpg
17811;Светильник SP-RONDO-210A-20W Warm White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17811;Светильник SP-RONDO-210A-20W Warm White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17811;Светильник SP-RONDO-210A-20W Warm White;/local/templates/universe_s1/Сертификат СанПин.jpg
17812;Светильник SP-RONDO-250A-30W Day White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17812;Светильник SP-RONDO-250A-30W Day White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17812;Светильник SP-RONDO-250A-30W Day White;/local/templates/universe_s1/Сертификат СанПин.jpg
17813;Светильник SP-RONDO-250A-30W Warm White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17813;Светильник SP-RONDO-250A-30W Warm White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17813;Светильник SP-RONDO-250A-30W Warm White;/local/templates/universe_s1/Сертификат СанПин.jpg
17814;Светильник SP-RONDO-R300-36W Day4000 (WH, 120 deg, 230V);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17814;Светильник SP-RONDO-R300-36W Day4000 (WH, 120 deg, 230V);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17814;Светильник SP-RONDO-R300-36W Day4000 (WH, 120 deg, 230V);/local/templates/universe_s1/Сертификат СанПин.jpg
17815;Светильник SP-RONDO-R300-36W Warm3000 (WH, 120 deg, 230V);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17815;Светильник SP-RONDO-R300-36W Warm3000 (WH, 120 deg, 230V);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17815;Светильник SP-RONDO-R300-36W Warm3000 (WH, 120 deg, 230V);/local/templates/universe_s1/Сертификат СанПин.jpg
17816;Светильник SP-RONDO-R400-48W Day4000 (WH, 120 deg, 230V);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17816;Светильник SP-RONDO-R400-48W Day4000 (WH, 120 deg, 230V);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17816;Светильник SP-RONDO-R400-48W Day4000 (WH, 120 deg, 230V);/local/templates/universe_s1/Сертификат СанПин.jpg
17817;Светильник SP-RONDO-R400-48W Warm3000 (WH, 120 deg, 230V);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17817;Светильник SP-RONDO-R400-48W Warm3000 (WH, 120 deg, 230V);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17817;Светильник SP-RONDO-R400-48W Warm3000 (WH, 120 deg, 230V);/local/templates/universe_s1/Сертификат СанПин.jpg
17818;Светильник SP-RONDO-R500-60W Day4000 (WH, 120 deg, 230V);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17818;Светильник SP-RONDO-R500-60W Day4000 (WH, 120 deg, 230V);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17818;Светильник SP-RONDO-R500-60W Day4000 (WH, 120 deg, 230V);/local/templates/universe_s1/Сертификат СанПин.jpg
17819;Светильник SP-RONDO-R500-60W Warm3000 (WH, 120 deg, 230V);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17819;Светильник SP-RONDO-R500-60W Warm3000 (WH, 120 deg, 230V);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17819;Светильник SP-RONDO-R500-60W Warm3000 (WH, 120 deg, 230V);/local/templates/universe_s1/Сертификат СанПин.jpg
17820;Светильник SP-RONDO-R600-72W Day4000 (WH, 120 deg, 230V);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17820;Светильник SP-RONDO-R600-72W Day4000 (WH, 120 deg, 230V);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17820;Светильник SP-RONDO-R600-72W Day4000 (WH, 120 deg, 230V);/local/templates/universe_s1/Сертификат СанПин.jpg
17821;Светильник SP-RONDO-R600-72W Warm3000 (WH, 120 deg, 230V);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17821;Светильник SP-RONDO-R600-72W Warm3000 (WH, 120 deg, 230V);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17821;Светильник SP-RONDO-R600-72W Warm3000 (WH, 120 deg, 230V);/local/templates/universe_s1/Сертификат СанПин.jpg
17822;Светильник SP-RONDO-FLAP-R95-16W Day4000 (WH, 110 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17822;Светильник SP-RONDO-FLAP-R95-16W Day4000 (WH, 110 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17822;Светильник SP-RONDO-FLAP-R95-16W Day4000 (WH, 110 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17823;Светильник SP-RONDO-FLAP-R95-16W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17823;Светильник SP-RONDO-FLAP-R95-16W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17823;Светильник SP-RONDO-FLAP-R95-16W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17824;Светильник SP-RONDO-FLAP-R110-25W Day4000 (WH, 110 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17824;Светильник SP-RONDO-FLAP-R110-25W Day4000 (WH, 110 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17824;Светильник SP-RONDO-FLAP-R110-25W Day4000 (WH, 110 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17825;Светильник SP-RONDO-FLAP-R110-25W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
